bidirectional_first_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,gtp_teid_unique,gtp_teid_switch_rate,gtp_teid_run_len_mean,gtp_teid_packets_mean,gtp_teid_packets_std,gtp_dir_imbalance_teid_mean,gtp_inner_ip_unique,gtp_payload_len_p95,gtp_s_flag_ratio,gtp_error_ind_rate,label
1743690739489,0,2,116,1743690739489,1743690739489,0,1,58,1743690739489,1743690739489,0,1,58,58,58.0,0.0,58,58,58.0,0.0,58,58,58.0,0.0,58,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0020105554159336,1.0,4.5,0.5,0.0,1.0,92.0,0.0,0.0,1
1743690749491,0,2,116,1743690749491,1743690749491,0,1,58,1743690749491,1743690749491,0,1,58,58,58.0,0.0,58,58,58.0,0.0,58,58,58.0,0.0,58,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0020105554159336,1.0,4.5,0.5,0.0,1.0,92.0,0.0,0.0,1
1743690736998,3980,10,1420,1743690736998,1743690740978,3980,5,710,1743690736999,1743690740978,3979,5,710,142,142.0,0.0,142,142,142.0,0.0,142,142,142.0,0.0,142,0,442.22222222222223,523.7992883199103,1011,976,995.0,1012,976,994.75,16.52018966799918,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0135135135135135,1.0,1.0,0.0,-1.0,0.0,56.0,0.0,0.0,1
1743690759491,0,2,116,1743690759491,1743690759491,0,1,58,1743690759491,1743690759491,0,1,58,58,58.0,0.0,58,58,58.0,0.0,58,58,58.0,0.0,58,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0020105554159336,1.0,4.5,0.5,0.0,1.0,92.0,0.0,0.0,1
1743690769492,0,2,116,1743690769492,1743690769492,0,1,58,1743690769492,1743690769492,0,1,58,58,58.0,0.0,58,58,58.0,0.0,58,58,58.0,0.0,58,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0020105554159336,1.0,4.5,0.5,0.0,1.0,92.0,0.0,0.0,1
1743690779492,0,2,116,1743690779492,1743690779492,0,1,58,1743690779492,1743690779492,0,1,58,58,58.0,0.0,58,58,58.0,0.0,58,58,58.0,0.0,58,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0020105554159336,1.0,4.5,0.5,0.0,1.0,92.0,0.0,0.0,1
1743690789493,0,2,116,1743690789493,1743690789493,0,1,58,1743690789493,1743690789493,0,1,58,58,58.0,0.0,58,58,58.0,0.0,58,58,58.0,0.0,58,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0020105554159336,1.0,4.5,0.5,0.0,1.0,92.0,0.0,0.0,1
1743690799494,0,2,116,1743690799494,1743690799494,0,1,58,1743690799494,1743690799494,0,1,58,58,58.0,0.0,58,58,58.0,0.0,58,58,58.0,0.0,58,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0020105554159336,1.0,4.5,0.5,0.0,1.0,92.0,0.0,0.0,1
1743690809495,0,2,116,1743690809495,1743690809495,0,1,58,1743690809495,1743690809495,0,1,58,58,58.0,0.0,58,58,58.0,0.0,58,58,58.0,0.0,58,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0020105554159336,1.0,4.5,0.5,0.0,1.0,92.0,0.0,0.0,1
1743690819496,0,2,116,1743690819496,1743690819496,0,1,58,1743690819496,1743690819496,0,1,58,58,58.0,0.0,58,58,58.0,0.0,58,58,58.0,0.0,58,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0020105554159336,1.0,4.5,0.5,0.0,1.0,92.0,0.0,0.0,1
1743690829497,0,2,116,1743690829497,1743690829497,0,1,58,1743690829497,1743690829497,0,1,58,58,58.0,0.0,58,58,58.0,0.0,58,58,58.0,0.0,58,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0020105554159336,1.0,4.5,0.5,0.0,1.0,92.0,0.0,0.0,1
1743690839498,0,2,116,1743690839498,1743690839498,0,1,58,1743690839498,1743690839498,0,1,58,58,58.0,0.0,58,58,58.0,0.0,58,58,58.0,0.0,58,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0020105554159336,1.0,4.5,0.5,0.0,1.0,92.0,0.0,0.0,1
1743690849499,0,2,116,1743690849499,1743690849499,0,1,58,1743690849499,1743690849499,0,1,58,58,58.0,0.0,58,58,58.0,0.0,58,58,58.0,0.0,58,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0020105554159336,1.0,4.5,0.5,0.0,1.0,92.0,0.0,0.0,1
1743690859510,1,2,116,1743690859510,1743690859510,0,1,58,1743690859511,1743690859511,0,1,58,58,58.0,0.0,58,58,58.0,0.0,58,58,58.0,0.0,58,1,1.0,0.0,1,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0020105554159336,1.0,4.5,0.5,0.0,1.0,92.0,0.0,0.0,1
1743690869511,0,2,116,1743690869511,1743690869511,0,1,58,1743690869511,1743690869511,0,1,58,58,58.0,0.0,58,58,58.0,0.0,58,58,58.0,0.0,58,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0020105554159336,1.0,4.5,0.5,0.0,1.0,92.0,0.0,0.0,1
1743690879514,0,2,116,1743690879514,1743690879514,0,1,58,1743690879514,1743690879514,0,1,58,58,58.0,0.0,58,58,58.0,0.0,58,58,58.0,0.0,58,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0020105554159336,1.0,4.5,0.5,0.0,1.0,92.0,0.0,0.0,1
1743690889515,1,2,116,1743690889515,1743690889515,0,1,58,1743690889516,1743690889516,0,1,58,58,58.0,0.0,58,58,58.0,0.0,58,58,58.0,0.0,58,1,1.0,0.0,1,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0020105554159336,1.0,4.5,0.5,0.0,1.0,92.0,0.0,0.0,1
1743690878149,0,1,183,1743690878149,1743690878149,0,1,183,0,0,0,0,0,183,183.0,0.0,183,183,183.0,0.0,183,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0020105554159336,1.0,4.5,0.5,0.0,1.0,92.0,0.0,0.0,1
